Severity	id		Headline							Build
3-Average	JG200000010	IE-Live:Full-Screen Button geht nicht				R1.1.0 rc0
4-Minor		JG200000036	Live: IE: Browser zeigt nachladen an				R1.1.0 rc0
4-Minor		JG200000051	Live: startet bei Mozilla nicht automatisch			R1.1.0 rc0
5-Enhancement	JG200000031	Info "Bitte warten" wenn Live aufgerufen wird			R1.1.0 rc0
5-Enhancement	JG200000032	Neues Menu Plugins						R1.1.0 rc0
5-Enhancement	JG200000033	Plugin-Conf: VNC						R1.1.0 rc0
5-Enhancement	JG200000039	Menu: Timer nach Tools						R1.1.0 rc0
5-Enhancement	JG200000040	Menu: "TV/Radio" anch "Bouquet" umbenennen			R1.1.0 rc0
5-Enhancement	JG200000046	Info "Biite warten" bei Plugin-Konfiguratoren			R1.1.0 rc0
5-Enhancement	JG200000047	Info "Bitte warten" bei Tools Flash auslesen			R1.1.0 rc0
5-Enhancement	JG200000048	favicon								R1.1.0 rc0
5-Enhancement	JG200000049	Tools: Boxen in Menues kleiner (nicht 100%)			R1.1.0 rc0
5-Enhancement	JG200000059	Installer Y-Web: Frage ob gepatcher WebServer zuvor schon installiert wurde	R1.1.0 rc0
5-Enhancement	JG200000060	Doc: Entwickler Dokumentation zur 1.0.2				R1.1.0 rc0
5-Enhancement	JG200000061	Y_Web Installer: jetzt mit _Y-pre.bat: Zeigt Version an		R1.1.0 rc0

3-Average	JG200000009	TV/Radio: Mute/Unmute ueber das Lautsprecher-Icon geht nicht	R1.0.2
3-Average	JG200000029	Live: Moz: Jetzt html ohne Workaround				R1.0.2
4-Minor		JG200000019	Live NetStream nach Tools veschieben				R1.0.2
5-Enhancement	JG200000001	Live: Standard Fenstergrösse auf 4:3 				R1.0.2
5-Enhancement	JG200000002	Live: autom. Browsererkennung / nur ein Live-Button		R1.0.2
5-Enhancement	JG200000016	Flash Image download						R1.0.2
5-Enhancement	JG200000020	Tools: Info: Teile aus Box-Control dorthin			R1.0.2
5-Enhancement	JG200000021	Tools: Info: Kernel Stack ausgeben				R1.0.2
5-Enhancement	JG200000022	Tools: Info: dbox-Prozesse anzeigen				R1.0.2
5-Enhancement	JG200000023	Tools: Flash: Linux Partitionen anzeigen			R1.0.2
5-Enhancement	JG200000024	nhttpd: execCGI erweitern für dyn. Webseiten			R1.0.2
5-Enhancement	JG200000025	Test ob gepatchte WebServer läuft				R1.0.2
5-Enhancement	JG200000026	Autom. Starten des gepatchten WebServers für JtG-Image		R1.0.2
5-Enhancement	JG200000027	Tools: Test: WebServer testen					R1.0.2
5-Enhancement	JG200000028	Prüfung ob Y-WebServer läuft bei Parameterübergaben		R1.0.2
